Date_of_Journey,Airline,Source,Destination,Product,Customer,Booking
2021-04-21,FlyDubai,Chennai,Dubai,Business,First Flyer,26.532030638577854
2021-04-22,FlyDubai,Chennai,Dubai,Business,First Flyer,23.897944313858844
2021-04-23,FlyDubai,Chennai,Dubai,Business,First Flyer,25.102926976686575
2021-04-24,FlyDubai,Chennai,Dubai,Business,First Flyer,25.487607493127886
2021-04-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.005824589562735
2021-04-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.04420404604584
2021-04-27,FlyDubai,Chennai,Dubai,Business,First Flyer,26.908822055964784
2021-04-28,FlyDubai,Chennai,Dubai,Business,First Flyer,26.581559485973177
2021-04-29,FlyDubai,Chennai,Dubai,Business,First Flyer,23.947473079795127
2021-04-30,FlyDubai,Chennai,Dubai,Business,First Flyer,25.152455661152015
2021-05-01,FlyDubai,Chennai,Dubai,Business,First Flyer,25.537136096127025
2021-05-02,FlyDubai,Chennai,Dubai,Business,First Flyer,27.05535311109247
2021-05-03,FlyDubai,Chennai,Dubai,Business,First Flyer,26.09373248611039
2021-05-04,FlyDubai,Chennai,Dubai,Business,First Flyer,26.95835041456478
2021-05-05,FlyDubai,Chennai,Dubai,Business,First Flyer,26.63108784458
2021-05-06,FlyDubai,Chennai,Dubai,Business,First Flyer,23.99700143839248
2021-05-07,FlyDubai,Chennai,Dubai,Business,First Flyer,25.20198401975036
2021-05-08,FlyDubai,Chennai,Dubai,Business,First Flyer,25.586664454724275
2021-05-09,FlyDubai,Chennai,Dubai,Business,First Flyer,27.10488146968761
2021-05-10,FlyDubai,Chennai,Dubai,Business,First Flyer,26.14326084454179
2021-05-11,FlyDubai,Chennai,Dubai,Business,First Flyer,27.007878772835497
2021-05-12,FlyDubai,Chennai,Dubai,Business,First Flyer,26.680616202677626
2021-05-13,FlyDubai,Chennai,Dubai,Business,First Flyer,24.04652979632833
2021-05-14,FlyDubai,Chennai,Dubai,Business,First Flyer,25.251512377523415
2021-05-15,FlyDubai,Chennai,Dubai,Business,First Flyer,25.63619281233261
2021-05-16,FlyDubai,Chennai,Dubai,Business,First Flyer,27.154409827130262
2021-05-17,FlyDubai,Chennai,Dubai,Business,First Flyer,26.19278920198229
2021-05-18,FlyDubai,Chennai,Dubai,Business,First Flyer,27.05740713027356
2021-05-19,FlyDubai,Chennai,Dubai,Business,First Flyer,26.730144560120937
2021-05-20,FlyDubai,Chennai,Dubai,Business,First Flyer,24.096058153770255
2021-05-21,FlyDubai,Chennai,Dubai,Business,First Flyer,25.301040734962697
2021-05-22,FlyDubai,Chennai,Dubai,Business,First Flyer,25.68572116659738
2021-05-23,FlyDubai,Chennai,Dubai,Business,First Flyer,27.203938178224178
2021-05-24,FlyDubai,Chennai,Dubai,Business,First Flyer,26.242317549903774
2021-05-25,FlyDubai,Chennai,Dubai,Business,First Flyer,27.106935475017682
2021-05-26,FlyDubai,Chennai,Dubai,Business,First Flyer,26.779672901691793
2021-05-27,FlyDubai,Chennai,Dubai,Business,First Flyer,24.145586492157104
2021-05-28,FlyDubai,Chennai,Dubai,Business,First Flyer,25.350569070175556
2021-05-29,FlyDubai,Chennai,Dubai,Business,First Flyer,25.73524950181016
2021-05-30,FlyDubai,Chennai,Dubai,Business,First Flyer,27.25346651343591
2021-05-31,FlyDubai,Chennai,Dubai,Business,First Flyer,26.291845885113357
2021-06-01,FlyDubai,Chennai,Dubai,Business,First Flyer,27.15646381022797
