Date_of_Journey,Airline,Source,Destination,Product,Customer,Revenue
2021-08-10,FlyDubai,Chennai,Dubai,Business,First Flyer,341360.78272924264
2021-08-11,FlyDubai,Chennai,Dubai,Business,First Flyer,337320.72559447295
2021-08-12,FlyDubai,Chennai,Dubai,Business,First Flyer,304802.92820189364
2021-08-13,FlyDubai,Chennai,Dubai,Business,First Flyer,319678.43746053125
2021-08-14,FlyDubai,Chennai,Dubai,Business,First Flyer,324427.31672209775
2021-08-15,FlyDubai,Chennai,Dubai,Business,First Flyer,343169.70506355737
2021-08-16,FlyDubai,Chennai,Dubai,Business,First Flyer,331298.49773988966
2021-08-17,FlyDubai,Chennai,Dubai,Business,First Flyer,341972.2053584249
2021-08-18,FlyDubai,Chennai,Dubai,Business,First Flyer,337932.1482237454
2021-08-19,FlyDubai,Chennai,Dubai,Business,First Flyer,305414.3508310654
2021-08-20,FlyDubai,Chennai,Dubai,Business,First Flyer,320289.86008972576
2021-08-21,FlyDubai,Chennai,Dubai,Business,First Flyer,325038.7393512532
2021-08-22,FlyDubai,Chennai,Dubai,Business,First Flyer,343781.1276927746
2021-08-23,FlyDubai,Chennai,Dubai,Business,First Flyer,331909.92036328214
2021-08-24,FlyDubai,Chennai,Dubai,Business,First Flyer,342583.6279758736
2021-08-25,FlyDubai,Chennai,Dubai,Business,First Flyer,338543.57083528116
2021-08-26,FlyDubai,Chennai,Dubai,Business,First Flyer,306025.7734368362
2021-08-27,FlyDubai,Chennai,Dubai,Business,First Flyer,320901.28268958593
2021-08-28,FlyDubai,Chennai,Dubai,Business,First Flyer,325650.16194524564
2021-08-29,FlyDubai,Chennai,Dubai,Business,First Flyer,344392.55028088717
2021-08-30,FlyDubai,Chennai,Dubai,Business,First Flyer,332521.34295136825
2021-08-31,FlyDubai,Chennai,Dubai,Business,First Flyer,343195.0505640462
2021-09-01,FlyDubai,Chennai,Dubai,Business,First Flyer,339154.99342345435
2021-09-02,FlyDubai,Chennai,Dubai,Business,First Flyer,306637.1960249761
2021-09-03,FlyDubai,Chennai,Dubai,Business,First Flyer,321512.7052792285
2021-09-04,FlyDubai,Chennai,Dubai,Business,First Flyer,326261.5845363652
2021-09-05,FlyDubai,Chennai,Dubai,Business,First Flyer,345003.97287347104
2021-09-06,FlyDubai,Chennai,Dubai,Business,First Flyer,333132.7655454535
2021-09-07,FlyDubai,Chennai,Dubai,Business,First Flyer,343806.47315955407
2021-09-08,FlyDubai,Chennai,Dubai,Business,First Flyer,339766.416020465
2021-09-09,FlyDubai,Chennai,Dubai,Business,First Flyer,307248.61862347624
2021-09-10,FlyDubai,Chennai,Dubai,Business,First Flyer,322124.12787778775
2021-09-11,FlyDubai,Chennai,Dubai,Business,First Flyer,326873.00713485916
2021-09-12,FlyDubai,Chennai,Dubai,Business,First Flyer,345615.3954720164
2021-09-13,FlyDubai,Chennai,Dubai,Business,First Flyer,333744.1881439724
2021-09-14,FlyDubai,Chennai,Dubai,Business,First Flyer,344417.89575813996
2021-09-15,FlyDubai,Chennai,Dubai,Business,First Flyer,340377.83861765044
2021-09-16,FlyDubai,Chennai,Dubai,Business,First Flyer,307860.0412193127
2021-09-17,FlyDubai,Chennai,Dubai,Business,First Flyer,322735.55047218705
2021-09-18,FlyDubai,Chennai,Dubai,Business,First Flyer,327484.4297279711
2021-09-19,FlyDubai,Chennai,Dubai,Business,First Flyer,346226.81806375756
2021-09-20,FlyDubai,Chennai,Dubai,Business,First Flyer,334355.6107343875
2021-09-21,FlyDubai,Chennai,Dubai,Business,First Flyer,345029.3183471681
2021-09-22,FlyDubai,Chennai,Dubai,Business,First Flyer,340989.2612067104
2021-09-23,FlyDubai,Chennai,Dubai,Business,First Flyer,308471.4638082719
2021-09-24,FlyDubai,Chennai,Dubai,Business,First Flyer,323346.973061182
2021-09-25,FlyDubai,Chennai,Dubai,Business,First Flyer,328095.85231695225
2021-09-26,FlyDubai,Chennai,Dubai,Business,First Flyer,346838.24065268924
2021-09-27,FlyDubai,Chennai,Dubai,Business,First Flyer,334967.0333309361
2021-09-28,FlyDubai,Chennai,Dubai,Business,First Flyer,345640.74095135176
2021-09-29,FlyDubai,Chennai,Dubai,Business,First Flyer,341600.68381850753
2021-09-30,FlyDubai,Chennai,Dubai,Business,First Flyer,309082.88642769505
2021-10-01,FlyDubai,Chennai,Dubai,Business,First Flyer,323958.3956882115
2021-10-02,FlyDubai,Chennai,Dubai,Business,First Flyer,328707.2749515748
2021-10-03,FlyDubai,Chennai,Dubai,Business,First Flyer,347449.66329495923
2021-10-04,FlyDubai,Chennai,Dubai,Business,First Flyer,335578.4559731788
2021-10-05,FlyDubai,Chennai,Dubai,Business,First Flyer,346252.16359357006
2021-10-06,FlyDubai,Chennai,Dubai,Business,First Flyer,342212.1064606798
2021-10-07,FlyDubai,Chennai,Dubai,Business,First Flyer,309694.3090698665
2021-10-08,FlyDubai,Chennai,Dubai,Business,First Flyer,324569.8183207497
2021-10-09,FlyDubai,Chennai,Dubai,Business,First Flyer,329318.6975745825
